NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG Landak Sengah Temila Senakin,"Jalan Raya Senakin&amp;amp;amp;amp;amp;amp;amp;amp;ndash;Pontianak, Desa Senakin, Dusun Ayo Gundaleng, Kecamatan Sengah Temila, Kabupaten Landak, Provinsi Kalimantan Barat",24-08-2025,KALIMANTAN BARAT,Wilayah III,Kristian Peri,,"Landak Sengah Temila Senakin Jalan Raya Senakin&amp;amp;amp;amp;amp;amp;amp;amp;ndash;Pontianak, Desa Senakin, Dusun Ayo Gundaleng, Kecamatan Sengah Temila, Kabupaten Landak, Provinsi Kalimantan Barat KALIMANTAN BARAT"
SPPG Landak Sompak Galar,"Jl. Raya Galar, Desa Galar, Kec. Sompak, Kab. Landak, Provinsi Kalimantan Barat, Galar, Sompak, Kab. Landak, Kalimantan Barat",21-09-2025,KALIMANTAN BARAT,Wilayah III,Duferdurisa Ari Lekoa,,"Landak Sompak Galar Jl. Raya Galar, Desa Galar, Kec. Sompak, Kab. Landak, Provinsi Kalimantan Barat, Galar, Sompak, Kab. Landak, Kalimantan Barat KALIMANTAN BARAT"
SPPG Lebak Cikulur Muaradua,"Desa Muaradua, Cikulur, Lebak, Muaradua, Cikulur, Kab. Lebak, Banten",29-08-2025,BANTEN,Wilayah II,Apin Haerani,,"Lebak Cikulur Muaradua Desa Muaradua, Cikulur, Lebak, Muaradua, Cikulur, Kab. Lebak, Banten BANTEN"
SPPG Lebak Cimarga Sudamanik,"Jalan Raya Leuwidamar KM 15, Kampung Sudamanik, RT 001 RW 002, Desa Sudamanik, Kecamatan Cimarga, Kabupaten Lebak, Provinsi Banten",21-08-2025,BANTEN,Wilayah II,"M. Mujiburohman, S.E",,"Lebak Cimarga Sudamanik Jalan Raya Leuwidamar KM 15, Kampung Sudamanik, RT 001 RW 002, Desa Sudamanik, Kecamatan Cimarga, Kabupaten Lebak, Provinsi Banten BANTEN"
SPPG Lebak Sajira Sajira,"Jl. Raya Sajira, Kampung Pasir Buluh Rt/Rw 04/01 Desa. Sajira Kec Sajira Kab. Lebak Banten, Sajira, Sajira, Kab. Lebak, Banten",01-09-2025,BANTEN,Wilayah II,Naugi Sikaraja,,"Lebak Sajira Sajira Jl. Raya Sajira, Kampung Pasir Buluh Rt/Rw 04/01 Desa. Sajira Kec Sajira Kab. Lebak Banten, Sajira, Sajira, Kab. Lebak, Banten BANTEN"
SPPG Lebak Wanasalam Wanasalam,"Kampung Jayamukti, RT 002 RW 003, Desa Wanasalam, Kecamatan Wanasalam, Kabupaten Lebak, Provinsi Banten",21-08-2025,BANTEN,Wilayah II,Juliana,,"Lebak Wanasalam Wanasalam Kampung Jayamukti, RT 002 RW 003, Desa Wanasalam, Kecamatan Wanasalam, Kabupaten Lebak, Provinsi Banten BANTEN"
SPPG Lebak Wanasalam Wanasalam 2,"Kampung Kubanghaur Rt.006 Rw.002, Wanasalam, Kec.Wanasalam, Kab. Lebak, Banten",18-10-2025,BANTEN,Wilayah II,Heru Riyadi,,"Lebak Wanasalam Wanasalam 2 Kampung Kubanghaur Rt.006 Rw.002, Wanasalam, Kec.Wanasalam, Kab. Lebak, Banten BANTEN"
SPPG Lima Puluh Kota Mungka Sungai Antuan 2,"Jalan Padang Lawas No. 5, Nagari Sungai Antuan, Kecamatan Mungka, Kabupaten Lima Puluh Kota, Provinsi Sumatera Barat",22-08-2025,SUMATERA BARAT,Wilayah I,Arif Aldi,,"Lima Puluh Kota Mungka Sungai Antuan 2 Jalan Padang Lawas No. 5, Nagari Sungai Antuan, Kecamatan Mungka, Kabupaten Lima Puluh Kota, Provinsi Sumatera Barat SUMATERA BARAT"
SPPG Lingga Singkep Dabo,"Jalan Bukit Kapitan RT 001 RW 007 Kec. Singkep, Kel. Dabo Lama",29-08-2025,KEPULAUAN RIAU,Wilayah I,Irdian Haryandi,,"Lingga Singkep Dabo Jalan Bukit Kapitan RT 001 RW 007 Kec. Singkep, Kel. Dabo Lama KEPULAUAN RIAU"
SPPG Lombok Tengah Jonggat Labulia,"Jalan Bypass Bandara Internasional  Lombok, Dusun Tandek, Desa  Labulia, Kecamatan Jonggat,  Kabupaten Lombok Tengah, Provinsi  Nusa Tenggara Barat",14-05-2025,NUSA TENGGARA BARAT,Wilayah II,Achmad Tanbieh,Yayasan Ishlahil Athfal,"Lombok Tengah Jonggat Labulia Jalan Bypass Bandara Internasional  Lombok, Dusun Tandek, Desa  Labulia, Kecamatan Jonggat,  Kabupaten Lombok Tengah, Provinsi  Nusa Tenggara Barat NUSA TENGGARA BARAT"
SPPG Lombok Tengah Jonggat Labulia 2,"Jl. Bypass International Lombok, Dusun Olor Agung, Desa Labulia Kecamatan Jonggat Kabupaten Lombok Tengah, Nusa Tenggara Barat",15-09-2025,NUSA TENGGARA BARAT,Wilayah II,Jamaludin,,"Lombok Tengah Jonggat Labulia 2 Jl. Bypass International Lombok, Dusun Olor Agung, Desa Labulia Kecamatan Jonggat Kabupaten Lombok Tengah, Nusa Tenggara Barat NUSA TENGGARA BARAT"
SPPG Lombok Tengah Praya Renteng,"Dusun Bun Melase, Desa Renteng, Kecamatan Praya",22-08-2025,NUSA TENGGARA BARAT,Wilayah II,Muhamad Arik Nugraha,,"Lombok Tengah Praya Renteng Dusun Bun Melase, Desa Renteng, Kecamatan Praya NUSA TENGGARA BARAT"
SPPG Lombok Timur Keruak Keruak,"Dusun Buhlawang Barat, Desa Keruak, Kecamatan Keruak, Kabupaten Lombok Timur, Provinsi Nusa Tenggara Barat",11-08-2025,NUSA TENGGARA BARAT,Wilayah II,Siar Ramdani,,"Lombok Timur Keruak Keruak Dusun Buhlawang Barat, Desa Keruak, Kecamatan Keruak, Kabupaten Lombok Timur, Provinsi Nusa Tenggara Barat NUSA TENGGARA BARAT"
SPPG Lombok Timur Keruak Ketapang Raya,"Kedome Desa Ketapang Raya, Kecamatan Keruak, Lombok Timur, Nusa Tenggara Barat, Ketapang Raya, Keruak, Kab. Lombok Timur, Nusa Tenggara Barat",27-09-2025,NUSA TENGGARA BARAT,Wilayah II,Nurul Hidayatul Aini,,"Lombok Timur Keruak Ketapang Raya Kedome Desa Ketapang Raya, Kecamatan Keruak, Lombok Timur, Nusa Tenggara Barat, Ketapang Raya, Keruak, Kab. Lombok Timur, Nusa Tenggara Barat NUSA TENGGARA BARAT"
SPPG Lombok Timur Sembalun 1,"Jln. Pelummingih, Dusun Mentagi, Desa Sembalun, Kec Sembalun, Kab Lombok Timur. Prov NTB",21-04-2025,NUSA TENGGARA BARAT,Wilayah II,Muhamad Juliyandi Mariandra,Yayasan Ishlahil Athfal,"Lombok Timur Sembalun 1 Jln. Pelummingih, Dusun Mentagi, Desa Sembalun, Kec Sembalun, Kab Lombok Timur. Prov NTB NUSA TENGGARA BARAT"
SPPG Magetan Karas Temboro,Ponpes Al-Falah Pohtelu Jl. Temboro-Selawe Pohtelu Temboro,28-07-2025,JAWA TIMUR,Wilayah II,Mahendra,Yayasan Royal Amanah Swasembada,Magetan Karas Temboro Ponpes Al-Falah Pohtelu Jl. Temboro-Selawe Pohtelu Temboro JAWA TIMUR
SPPG Magetan Sidorejo Sambirobyong,"Jl. Ronggo Galih. Blogan RT 01 RW 01, Desa Sambirobyong, Kecamatan Sidorejo, Kabupaten Magetan, Provinsi Jawa Timur",25-07-2025,JAWA TIMUR,Wilayah II,Aldiastin Dwiardianingrum,Yayasan Panti Asuhan Siti Walidah,"Magetan Sidorejo Sambirobyong Jl. Ronggo Galih. Blogan RT 01 RW 01, Desa Sambirobyong, Kecamatan Sidorejo, Kabupaten Magetan, Provinsi Jawa Timur JAWA TIMUR"
SPPG Magetan Sukomoro Tambakmas,"Dusun Tawangrejo RT 06/RW 03, Desa Tambakmas, Kecamatan Sukomoro, Kabupaten Magetan, Provinsi Jawa Timur`",29-07-2025,JAWA TIMUR,Wilayah II,Danang Nugroho,,"Magetan Sukomoro Tambakmas Dusun Tawangrejo RT 06/RW 03, Desa Tambakmas, Kecamatan Sukomoro, Kabupaten Magetan, Provinsi Jawa Timur` JAWA TIMUR"
SPPG Majalengka Lemahsugih Cisalak,Jl. Raya Bantarujeg Bandung Desa Cisalak Kecamatan Lemahsugih Kabupaten Majalengka Provinsi Jawa Barat,28-08-2025,JAWA BARAT,Wilayah II,Baban Sobhan,,Majalengka Lemahsugih Cisalak Jl. Raya Bantarujeg Bandung Desa Cisalak Kecamatan Lemahsugih Kabupaten Majalengka Provinsi Jawa Barat JAWA BARAT
SPPG Majalengka Rajagaluh Cisetu,"Kampung Mayasari Rt. 02 Rw. 03, Cisetu, Kec. Rajagaluh, Kab. Majalengka, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Regan Muhammad Iqbal,,"Majalengka Rajagaluh Cisetu Kampung Mayasari Rt. 02 Rw. 03, Cisetu, Kec. Rajagaluh, Kab. Majalengka, Jawa Barat JAWA BARAT"
SPPG Majalengka Talaga Sukaperna,"Blok Cisampih RT.003 RW.001 Desa Sukaperna, Kecamatan Talaga, Kabupaten Majalengka, Provinsi jawa barat",01-09-2025,JAWA BARAT,Wilayah II,Akbar Ramdan Pratama,,"Majalengka Talaga Sukaperna Blok Cisampih RT.003 RW.001 Desa Sukaperna, Kecamatan Talaga, Kabupaten Majalengka, Provinsi jawa barat JAWA BARAT"
SPPG Majene Banggae Timur Baurung,"Jln. Surullah, Lingkungan Lembang Dhua, Kelurahan Lembang",19-08-2025,SULAWESI BARAT,Wilayah III,MUHAMMAD SIDIK,,"Majene Banggae Timur Baurung Jln. Surullah, Lingkungan Lembang Dhua, Kelurahan Lembang SULAWESI BARAT"
SPPG Malaka Malaka Tengah Wehali,"Jl. Ahmad Yani, Pasar Baru II, Rt.Rw 013.005, Desa Wehali, Kecamatan Malaka Tengah, Kabupaten Malaka, Nusa Tenggara Timur",08-10-2025,NUSA TENGGARA TIMUR,Wilayah III,Maria Florida Nahak,,"Malaka Malaka Tengah Wehali Jl. Ahmad Yani, Pasar Baru II, Rt.Rw 013.005, Desa Wehali, Kecamatan Malaka Tengah, Kabupaten Malaka, Nusa Tenggara Timur NUSA TENGGARA TIMUR"
SPPG Malaka Wewiku Seserai,"Jl. Lintas Selatan Timor, Laensukaer B, Rt/Rw 014/006, Desa Seserai, Kecamatan Wewiku, Kabupaten Malaka, Nusa Tenggara Timur",06-10-2025,NUSA TENGGARA TIMUR,Wilayah III,Adrianus Bria,,"Malaka Wewiku Seserai Jl. Lintas Selatan Timor, Laensukaer B, Rt/Rw 014/006, Desa Seserai, Kecamatan Wewiku, Kabupaten Malaka, Nusa Tenggara Timur NUSA TENGGARA TIMUR"
SPPG Malaka Wewiku Webriamata,"Webriamata Lorosae, Rt/Rw 002/001, Desa Webriamata, Kecamatan Wewiku, Kabupaten Malaka, Nusa Tenggara Timur",06-10-2025,NUSA TENGGARA TIMUR,Wilayah III,Adisentus D. Tese,,"Malaka Wewiku Webriamata Webriamata Lorosae, Rt/Rw 002/001, Desa Webriamata, Kecamatan Wewiku, Kabupaten Malaka, Nusa Tenggara Timur NUSA TENGGARA TIMUR"
SPPG Maluku Barat Daya Babar Barat Tepa,"Jl. Poros Utama Desa Tepa Kecamatan Babar Barat Kabupaten Maluku Barat Daya, Tepa, Pulau-Pulau Babar, Kabupaten Maluku Barat Daya, Maluku",28-08-2025,MALUKU,Wilayah III,Ribka Liana Etwiory,,"Maluku Barat Daya Babar Barat Tepa Jl. Poros Utama Desa Tepa Kecamatan Babar Barat Kabupaten Maluku Barat Daya, Tepa, Pulau-Pulau Babar, Kabupaten Maluku Barat Daya, Maluku MALUKU"
SPPG Maluku Tengah Leihitu Asilulu,"Desa Asilulu, Samping dermaga Negeri Asilulu",11-08-2025,MALUKU,Wilayah III,Atika Nur Rahmi Mony,,"Maluku Tengah Leihitu Asilulu Desa Asilulu, Samping dermaga Negeri Asilulu MALUKU"
