NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG Mempawah Mempawah Hilir Pasir 2,"Jl. Gusti Sulung Lelanang Desa Pasir Kecamatan Mempawah Hilir (Simpang Sebukit Rama Daeng Menambon) Alamat Dapur : Jl. Gusti Sulung Lelanang Desa Pasir Kecamatan Mempawah Hilir (Simpang Sebukit Rama Daeng Menambon), Pasir, Mempawah Hilir, Kab.Mempawah",30-09-2025,KALIMANTAN BARAT,Wilayah III,Putri Wulanda Sari,,"Mempawah Mempawah Hilir Pasir 2 Jl. Gusti Sulung Lelanang Desa Pasir Kecamatan Mempawah Hilir (Simpang Sebukit Rama Daeng Menambon) Alamat Dapur : Jl. Gusti Sulung Lelanang Desa Pasir Kecamatan Mempawah Hilir (Simpang Sebukit Rama Daeng Menambon), Pasir, Mempawah Hilir, Kab.Mempawah KALIMANTAN BARAT"
SPPG Mimika Kwamki Narama Harapan,"Jalan Mangga RT 006 SP 2, Kelurahan Harapan, Distrik Kwamki Narama, Kabupaten Mimika, Provinsi Papua Tengah",24-08-2025,PAPUA TENGAH,Wilayah III,Alfa Zefanya Wowor,,"Mimika Kwamki Narama Harapan Jalan Mangga RT 006 SP 2, Kelurahan Harapan, Distrik Kwamki Narama, Kabupaten Mimika, Provinsi Papua Tengah PAPUA TENGAH"
SPPG Minahasa Utara Dimembe Tetey,"Desa Tetey Jaga Vi Kecamatan Dimembe Kabupaten Minahasa Utara Provinsi Sulawesi Utara, Tetey, Dimembe, Kabupaten Minahasa Utara, Sulawesi Utara",14-08-2025,SULAWESI UTARA,Wilayah III,Ignatius Andri Buanglera,,"Minahasa Utara Dimembe Tetey Desa Tetey Jaga Vi Kecamatan Dimembe Kabupaten Minahasa Utara Provinsi Sulawesi Utara, Tetey, Dimembe, Kabupaten Minahasa Utara, Sulawesi Utara SULAWESI UTARA"
SPPG Muko Muko Penarik Mekar Mulya,"Desa Mekar Mulya, Kecamatan Penarik, Kabupaten Muko-Muko, Mekar Mulya, Penarik, Kab. Muko Muko, Bengkulu",02-10-2025,BENGKULU,Wilayah I,Ilham Kautsar Hidayat,,"Muko Muko Penarik Mekar Mulya Desa Mekar Mulya, Kecamatan Penarik, Kabupaten Muko-Muko, Mekar Mulya, Penarik, Kab. Muko Muko, Bengkulu BENGKULU"
SPPG Muko Muko Teramang Jaya Bandar Jaya,"Jl. Raya Bengkulu Padang, Desa Bandar Jaya Kecamatan Teramang Jaya Kabupaten Muko Muko Provinsi Bengkulu, Bandar Jaya, Teramang Jaya, Kab. Muko Muko, Bengkulu",25-09-2025,BENGKULU,Wilayah I,Yesi Maleni,,"Muko Muko Teramang Jaya Bandar Jaya Jl. Raya Bengkulu Padang, Desa Bandar Jaya Kecamatan Teramang Jaya Kabupaten Muko Muko Provinsi Bengkulu, Bandar Jaya, Teramang Jaya, Kab. Muko Muko, Bengkulu BENGKULU"
SPPG Muna Barat Sawerigadi Ondoke,"Jalan Poros Lagadi - Tondasi, Desa Ondoke, Kecamatan Sawerigadi, Kabupaten Muna Barat, Provinsi Sulawesi Tenggara",25-08-2025,SULAWESI TENGGARA,Wilayah III,Jabarnur Salim,,"Muna Barat Sawerigadi Ondoke Jalan Poros Lagadi - Tondasi, Desa Ondoke, Kecamatan Sawerigadi, Kabupaten Muna Barat, Provinsi Sulawesi Tenggara SULAWESI TENGGARA"
SPPG Muna Duruka Lasunapa,"Jl. Sultan Sahrir, Desa Lasunapa Kecamatan Duruka Kabupaten Muna, Provinsi Sulawesi Tenggara",18-10-2025,SULAWESI TENGGARA,Wilayah III,Ma`Ruf,,"Muna Duruka Lasunapa Jl. Sultan Sahrir, Desa Lasunapa Kecamatan Duruka Kabupaten Muna, Provinsi Sulawesi Tenggara SULAWESI TENGGARA"
SPPG Muna Kabawo Kontumere,"Jl. Poros Raha &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;ndash; Wamengkoli, Kelurahan Kontumere, Kecamatan Kabawo",25-08-2025,SULAWESI TENGGARA,Wilayah III,Samtun,,"Muna Kabawo Kontumere Jl. Poros Raha &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;ndash; Wamengkoli, Kelurahan Kontumere, Kecamatan Kabawo SULAWESI TENGGARA"
SPPG Muna Tongkuno Lamorende,Jl. Poros Wakuru Oelongko,30-08-2025,SULAWESI TENGGARA,Wilayah III,Wa Ode Sitti Hajra Giu,,Muna Tongkuno Lamorende Jl. Poros Wakuru Oelongko SULAWESI TENGGARA
SPPG Musi Banyuasin Keluang Keluang,"Jalan Tembusan (Bangsal Batu) Rt 014 Rw 004, Kelurahan Keluang, Kecamatan Keluang, Kabupaten Musi Banyuasin, Provinsi Sumatera Selatan",30-08-2025,SUMATERA SELATAN,Wilayah I,Agung Kurniawan,,"Musi Banyuasin Keluang Keluang Jalan Tembusan (Bangsal Batu) Rt 014 Rw 004, Kelurahan Keluang, Kecamatan Keluang, Kabupaten Musi Banyuasin, Provinsi Sumatera Selatan SUMATERA SELATAN"
SPPG Musi Rawas Megang Sakti Jajaran Baru,"Desa Jajaran baru Dusun 2 Rt 3 Kec.megang sakti  Kab. Musi Rawas Provinsi sumatera selatan, JAJARAN BARU, MEGANG SAKTI, KAB. MUSI RAWAS, SUMATERA SELATAN",19-08-2025,SUMATERA SELATAN,Wilayah I,Ramadhayani Putri,,"Musi Rawas Megang Sakti Jajaran Baru Desa Jajaran baru Dusun 2 Rt 3 Kec.megang sakti  Kab. Musi Rawas Provinsi sumatera selatan, JAJARAN BARU, MEGANG SAKTI, KAB. MUSI RAWAS, SUMATERA SELATAN SUMATERA SELATAN"
SPPG Musi Rawas Muara Kelingi Muara Kelingi,"Rt 006 Kelurahan Muara Kelingi Kecamatan Muara Kelingi Kabupaten Musi Rawas Provinsi Sumatera Selatan, Muara Kelingi, Muara Kelingi, Kab. Musi Rawas, Sumatera Selatan",21-09-2025,SUMATERA SELATAN,Wilayah I,Apif Ramadhana Putra,,"Musi Rawas Muara Kelingi Muara Kelingi Rt 006 Kelurahan Muara Kelingi Kecamatan Muara Kelingi Kabupaten Musi Rawas Provinsi Sumatera Selatan, Muara Kelingi, Muara Kelingi, Kab. Musi Rawas, Sumatera Selatan SUMATERA SELATAN"
SPPG Musi Rawas Utara Karang Jaya Terusan,"Desa Terusan Kecamatan Karang Jaya Kabupaten Musi Rawas Utara, Terusan, Karang Jaya, Kab. Musi Rawas Utara, Sumatera Selatan",03-09-2025,SUMATERA SELATAN,Wilayah I,M. Arindo,,"Musi Rawas Utara Karang Jaya Terusan Desa Terusan Kecamatan Karang Jaya Kabupaten Musi Rawas Utara, Terusan, Karang Jaya, Kab. Musi Rawas Utara, Sumatera Selatan SUMATERA SELATAN"
SPPG Musi Rawas Utara Rawas Ulu Sungai Jauh,"Dusun 4 Desa Sungai Jauh Kec. Rawas Ulu Kabupaten Musi Rawas Utara, Sungai Jauh, Rawas Ulu, Kab. Musi Rawas Utara, Sumatera Selatan",01-09-2025,SUMATERA SELATAN,Wilayah I,Priban Siswanto,,"Musi Rawas Utara Rawas Ulu Sungai Jauh Dusun 4 Desa Sungai Jauh Kec. Rawas Ulu Kabupaten Musi Rawas Utara, Sungai Jauh, Rawas Ulu, Kab. Musi Rawas Utara, Sumatera Selatan SUMATERA SELATAN"
SPPG Nagan Raya Darul Makmur Suka Ramai,"DESA SUKA RAMAI KECAMATAN DARUL MAKMUR KABUPATEN NAGAN RAYA PROVINSI ACEH, SUKA RAMAI, DARUL MAKMUR, KAB. NAGAN RAYA, ACEH",19-08-2025,ACEH,Wilayah I,Jailani,,"Nagan Raya Darul Makmur Suka Ramai DESA SUKA RAMAI KECAMATAN DARUL MAKMUR KABUPATEN NAGAN RAYA PROVINSI ACEH, SUKA RAMAI, DARUL MAKMUR, KAB. NAGAN RAYA, ACEH ACEH"
SPPG Nganjuk Bagor Pesudukuh,"Dusun Pesu Lor, Desa Pesudukuh, Kecamatan Bagor, Kabupaten Nganjuk, Provinsi Jawa Timur, Pesudukuh, Bagor, Kab. Nganjuk, Jawa Timur",11-09-2025,JAWA TIMUR,Wilayah II,Ahmad Riza Pahlevi,,"Nganjuk Bagor Pesudukuh Dusun Pesu Lor, Desa Pesudukuh, Kecamatan Bagor, Kabupaten Nganjuk, Provinsi Jawa Timur, Pesudukuh, Bagor, Kab. Nganjuk, Jawa Timur JAWA TIMUR"
SPPG Ngawi Ngawi Ngawi,Desa Ngawi Purba RT : 03 RW : 01 Kecamatan Ngawi Kabupaten Ngawi,17-02-2025,JAWA TIMUR,Wilayah II,Selviana Agustin,Yayasan Al Ihsan Sawo Manis,Ngawi Ngawi Ngawi Desa Ngawi Purba RT : 03 RW : 01 Kecamatan Ngawi Kabupaten Ngawi JAWA TIMUR
SPPG Ngawi Paron Gelung,"Dusun Gelung Timur Rt05 Rw02 Desa Gelung Kecamatan Paron Kabupaten Ngawi, Gelung, Jawa Timur",07-09-2025,JAWA TIMUR,Wilayah II,Ashlih Ricky Maulana,,"Ngawi Paron Gelung Dusun Gelung Timur Rt05 Rw02 Desa Gelung Kecamatan Paron Kabupaten Ngawi, Gelung, Jawa Timur JAWA TIMUR"
SPPG Ngawi Paron Semen,"`SPPG Darul Hikmah Ngawi Dusun Cung Belut RT 002 RW 010, Desa Semen, Kecamatan Paron, Kabupaten Ngawi, Provinsi Jawa Timur",31-07-2025,JAWA TIMUR,Wilayah II,Ari Juliasandi,,"Ngawi Paron Semen ` Darul Hikmah Ngawi Dusun Cung Belut RT 002 RW 010, Desa Semen, Kecamatan Paron, Kabupaten Ngawi, Provinsi Jawa Timur JAWA TIMUR"
SPPG Ngawi Sine Jagir,Dusun Jagir Rt09/Rw01 Desa Jagir Kecamatan Sine Kabupaten Ngawi Jawa Timur,03-09-2025,JAWA TIMUR,Wilayah II,Sultoni,,Ngawi Sine Jagir Dusun Jagir Rt09/Rw01 Desa Jagir Kecamatan Sine Kabupaten Ngawi Jawa Timur JAWA TIMUR
SPPG Ogan Ilir Indralaya Selatan Meranjat I,Desa meranjat 1 dusun 8 kecamatan inderalaya selatan kabupaten ilir,19-08-2025,SUMATERA SELATAN,Wilayah I,Redi Handika,,Ogan Ilir Indralaya Selatan Meranjat I Desa meranjat 1 dusun 8 kecamatan inderalaya selatan kabupaten ilir SUMATERA SELATAN
SPPG Ogan Ilir Kandis Kandis II,"JALAN UTAMA DESA KANDIS II KECAMATAN KANDIS KABUPATEN OGAN ILIR, KANDIS II, KANDIS, KAB. OGAN ILIR, SUMATERA SELATAN",19-08-2025,SUMATERA SELATAN,Wilayah I,Bukhori,,"Ogan Ilir Kandis Kandis II JALAN UTAMA DESA KANDIS II KECAMATAN KANDIS KABUPATEN OGAN ILIR, KANDIS II, KANDIS, KAB. OGAN ILIR, SUMATERA SELATAN SUMATERA SELATAN"
SPPG Ogan Ilir Lubuk Keliat Ketiau,"Jl. Sultan Mahmad Badarudin II sp Jl Persatuan Desa Ketiau Kec. Lubuk Keliat Kab. Ogan Komering Ilir Provinsi Sumatera Selatan, KETIAU, LUBUK KELIAT, KAB. OGAN ILIR, SUMATERA SELATAN",19-08-2025,SUMATERA SELATAN,Wilayah I,Arif Dikky Damara,,"Ogan Ilir Lubuk Keliat Ketiau Jl. Sultan Mahmad Badarudin II sp Jl Persatuan Desa Ketiau Kec. Lubuk Keliat Kab. Ogan Komering Ilir Provinsi Sumatera Selatan, KETIAU, LUBUK KELIAT, KAB. OGAN ILIR, SUMATERA SELATAN SUMATERA SELATAN"
SPPG Ogan Ilir Payaraman Payaraman Timur,"Jl. Lanang Kuaso. Kel. Payaraman Timur. Rt. 005 Rw. 00, No. 214",23-08-2025,SUMATERA SELATAN,Wilayah I,Izzul Azwar,,"Ogan Ilir Payaraman Payaraman Timur Jl. Lanang Kuaso. Kel. Payaraman Timur. Rt. 005 Rw. 00, No. 214 SUMATERA SELATAN"
SPPG Ogan Ilir Pemulutan Tanjung Pasir,"Jalan Raya Dusun III, No. Rt.004  kelurahan Tanjung Pasir Kecamatan Pemulutan, Kabupaten Ogan Ilir, Provinsi Sumatera Selatan Kode Pos 30653",18-08-2025,SUMATERA SELATAN,Wilayah I,Wahidin,Yayasan Darul Akhyas Bayuasin,"Ogan Ilir Pemulutan Tanjung Pasir Jalan Raya Dusun III, No. Rt.004  kelurahan Tanjung Pasir Kecamatan Pemulutan, Kabupaten Ogan Ilir, Provinsi Sumatera Selatan Kode Pos 30653 SUMATERA SELATAN"
SPPG Ogan Ilir Tanjung Raja Tanjung Raja 1,"Jl. Depati Jemahir, No. 167, Lingkungan 1, Kelurahan Tanjung Raja, Kecamatan Tanjung Raja, Kabupaten Ogan Ilir, Provinsi Sumatera Selatan",20-08-2025,SUMATERA SELATAN,Wilayah I,Rafif Nopyefa,,"Ogan Ilir Tanjung Raja Tanjung Raja 1 Jl. Depati Jemahir, No. 167, Lingkungan 1, Kelurahan Tanjung Raja, Kecamatan Tanjung Raja, Kabupaten Ogan Ilir, Provinsi Sumatera Selatan SUMATERA SELATAN"
SPPG OKI Teluk Gelam Seriguna,"Dusun V, Desa Seriguna, Kec. Teluk Gelam, Kab. Ogan Komering Ilir Sumatera Selatan, Seriguna, Teluk Gelam, Kab. Ogan Komering Ilir, Sumatera Selatan",26-09-2025,SUMATERA SELATAN,Wilayah I,Andre Sarpico,,"OKI Teluk Gelam Seriguna Dusun V, Desa Seriguna, Kec. Teluk Gelam, Kab. Ogan Komering Ilir Sumatera Selatan, Seriguna, Teluk Gelam, Kab. Ogan Komering Ilir, Sumatera Selatan SUMATERA SELATAN"
SPPG OKUT Buay Pemuka Peliung Pemetung Besuki 2,"RT 11 RW 01 Pemetung Basuki Kecamatan Buay Pemuka Peliung, Kab. Oku Timur, Prov. Sumatera Selatan",04-09-2025,SUMATERA SELATAN,Wilayah I,Adam Fuadi,,"OKUT Buay Pemuka Peliung Pemetung Besuki 2 RT 11 RW 01 Pemetung Basuki Kecamatan Buay Pemuka Peliung, Kab. Oku Timur, Prov. Sumatera Selatan SUMATERA SELATAN"
SPPG OKUT Cempaka Campang Tiga Hulu,"Jl. Raya Provinsi Km. 125 Dusun 7 Lr. Tembusan No. 399 Rt. 07 Rw. 07  Kampung Sabah Laut, Desa Campang Tiga Hulu, Kec. Cempaka, Kab Oku Timur, Sumatera Selatan",05-09-2025,SUMATERA SELATAN,Wilayah I,Jhona Wilki Saputra,,"OKUT Cempaka Campang Tiga Hulu Jl. Raya Provinsi Km. 125 Dusun 7 Lr. Tembusan No. 399 Rt. 07 Rw. 07  Kampung Sabah Laut, Desa Campang Tiga Hulu, Kec. Cempaka, Kab Oku Timur, Sumatera Selatan SUMATERA SELATAN"
SPPG OKUT Jayapura Condong,"Sidorejo Rt 008/ Rw 005 Desa Condong, Kecamatan Jayapura, Kabupaten OKU Timur, Provinsi Sumatera Selatan",09-09-2025,SUMATERA SELATAN,Wilayah I,Farhan Septalizen,,"OKUT Jayapura Condong Sidorejo Rt 008/ Rw 005 Desa Condong, Kecamatan Jayapura, Kabupaten OKU Timur, Provinsi Sumatera Selatan SUMATERA SELATAN"
SPPG OKUT Madang Suku Iii Batu Marta VI,"Jl. Raya Blok K .Rt/Rw, 005/002, Desa Batumarta Vi, Kec, Madang Suku Iii, Kab. Oku Timur, Prov. Sumsel., Batu Marta Vi, Madang Suku Iii, Kab. Ogan Komering Ulu Timur, Sumatera Selatan",29-08-2025,SUMATERA SELATAN,Wilayah I,Barad Dhamara Winangsit,,"OKUT Madang Suku Iii Batu Marta VI Jl. Raya Blok K .Rt/Rw, 005/002, Desa Batumarta Vi, Kec, Madang Suku Iii, Kab. Oku Timur, Prov. Sumsel., Batu Marta Vi, Madang Suku Iii, Kab. Ogan Komering Ulu Timur, Sumatera Selatan SUMATERA SELATAN"
SPPG Pamekasan Batumarmar Bujur Tengah,Dusun jungudan desa bujur tenggah kecamatan batumarmar kabupaten pamekasan provinsi jawa timur,20-09-2025,JAWA TIMUR,Wilayah II,Rofi`I,,Pamekasan Batumarmar Bujur Tengah Dusun jungudan desa bujur tenggah kecamatan batumarmar kabupaten pamekasan provinsi jawa timur JAWA TIMUR
SPPG Pamekasan Batumarmar Bujur Tengah 2,"Dusun Jungudan, Desa  Bujur Tengah, Kecamatan Batumarmar, Kabupaten Pamekasan, Bujur Tengah, Batumarmar, Kab. Pamekasan, Jawa Timur",20-09-2025,JAWA TIMUR,Wilayah II,Ahmad,,"Pamekasan Batumarmar Bujur Tengah 2 Dusun Jungudan, Desa  Bujur Tengah, Kecamatan Batumarmar, Kabupaten Pamekasan, Bujur Tengah, Batumarmar, Kab. Pamekasan, Jawa Timur JAWA TIMUR"
SPPG Pamekasan Larangan Peltong,"Dusun Barat Lorong, Desa Peltong Kec. Larangan Kab. Pamekasan, Peltong, Larangan, Kab. Pamekasan, Jawa Timur",20-09-2025,JAWA TIMUR,Wilayah II,Alief Alwiyullah,,"Pamekasan Larangan Peltong Dusun Barat Lorong, Desa Peltong Kec. Larangan Kab. Pamekasan, Peltong, Larangan, Kab. Pamekasan, Jawa Timur JAWA TIMUR"
SPPG Pamekasan Pakong Lebbek,"Dusun Sumber Tengah, Desa Lebbek, Kecamatan Pakong, Kabupaten Pamekasan, Provinsi Jawa Timur",-,JAWA TIMUR,Wilayah II,Mea Kuraini Syafitri,,"Pamekasan Pakong Lebbek Dusun Sumber Tengah, Desa Lebbek, Kecamatan Pakong, Kabupaten Pamekasan, Provinsi Jawa Timur JAWA TIMUR"
SPPG Pamekasan Palengaan Palengaan Dajah 4,"Jl. Sumber Kembang Dusun Kembang I, Palengaan Dajah, Palenggaan, Kabupaten Pamekasan, Jawa Timur",14-08-2025,JAWA TIMUR,Wilayah II,Moh Ipung,,"Pamekasan Palengaan Palengaan Dajah 4 Jl. Sumber Kembang Dusun Kembang I, Palengaan Dajah, Palenggaan, Kabupaten Pamekasan, Jawa Timur JAWA TIMUR"
SPPG Pandeglang Cisata Kubangkondang 2,"Kampung Lapangan, RT 003 RW 003, Desa Kubangkondang, Kecamatan Cisata, Kabupaten Pandeglang, Provinsi Banten",05-08-2025,BANTEN,Wilayah II,Imam Fauzi,,"Pandeglang Cisata Kubangkondang 2 Kampung Lapangan, RT 003 RW 003, Desa Kubangkondang, Kecamatan Cisata, Kabupaten Pandeglang, Provinsi Banten BANTEN"
SPPG Pandeglang Menes Menes 1,"Kampung Banjar Kulon , RT/RW 002/007, Desa Menes",17-02-2025,BANTEN,Wilayah II,Suhari,Yayasan Daar El Mustadh`afin,"Pandeglang Menes Menes 1 Kampung Banjar Kulon , RT/RW 002/007, Desa Menes BANTEN"
SPPG Pandeglang Menes Purwaraja,"Kampung kadutanggai rt 003 rw 007, Desa purwaraja, Kecamatan menes, kabupaten pandeglang, Provinsi Banten",27-08-2025,BANTEN,Wilayah II,Rudi Supriadi,,"Pandeglang Menes Purwaraja Kampung kadutanggai rt 003 rw 007, Desa purwaraja, Kecamatan menes, kabupaten pandeglang, Provinsi Banten BANTEN"
SPPG Pandeglang Patia Surianeun,"Jalan Raya Surianeun Patia Nomor 1 Km 4, Desa Surianeun, Kecamatan Patia, Kabupaten Pandeglang, Provinsi Banten",23-08-2025,BANTEN,Wilayah II,Moh. Arif,,"Pandeglang Patia Surianeun Jalan Raya Surianeun Patia Nomor 1 Km 4, Desa Surianeun, Kecamatan Patia, Kabupaten Pandeglang, Provinsi Banten BANTEN"
SPPG Pangandaran Langkaplancar Jadimulya,"Jl. Raya Jadimulya Dusun Sidikmulya Rt02 Rw 07 Jadimulya Kecamatan Langkap Lancar Kabupaten Pangandaran, Jawa Barat",17-10-2025,JAWA BARAT,Wilayah II,Gugun Taufik Hidayat,,"Pangandaran Langkaplancar Jadimulya Jl. Raya Jadimulya Dusun Sidikmulya Rt02 Rw 07 Jadimulya Kecamatan Langkap Lancar Kabupaten Pangandaran, Jawa Barat JAWA BARAT"
SPPG Pangkajene Dan Kepulauan Labakkang Labakkang,"Jl. Bontowa Raya, Desa Labakkang, Kecamatan Labakang, Kabupaten Pangkajene Dan Kepulauan, Labakkang, Labakkang, Kabupaten Pangkajene Kepulauan, Sulawesi Selatan",05-09-2025,SULAWESI SELATAN,Wilayah III,Ardiansyah,,"Pangkajene Dan Kepulauan Labakkang Labakkang Jl. Bontowa Raya, Desa Labakkang, Kecamatan Labakang, Kabupaten Pangkajene Dan Kepulauan, Labakkang, Labakkang, Kabupaten Pangkajene Kepulauan, Sulawesi Selatan SULAWESI SELATAN"
SPPG Pangkajene Dan Kepulauan Marang Talaka,"Jl. Poros Makassar Pare-Pare Kel. Talaka Kec. Marang Kab. Pangkajene &amp;amp;amp;amp;amp; Kepulauan, Sulawesi Selatan",27-09-2025,SULAWESI SELATAN,Wilayah III,Awal Fajaruddin,,"Pangkajene Dan Kepulauan Marang Talaka Jl. Poros Makassar Pare-Pare Kel. Talaka Kec. Marang Kab. Pangkajene &amp;amp;amp;amp;amp; Kepulauan, Sulawesi Selatan SULAWESI SELATAN"
SPPG Pangkajene Dan Kepulauan Segeri Segeri,"Jl. Poros Segeri Baru Km 73 Timporongan, Kelurahan Segeri, Kecamatan Segeri, Kabupaten Pangkajene Kepulauan, Sulawesi Selatan, Segeri, Segeri, Kab. Pangkajene Kepulauan, Sulawesi Selatan",19-09-2025,SULAWESI SELATAN,Wilayah III,Ashar Saputra,,"Pangkajene Dan Kepulauan Segeri Segeri Jl. Poros Segeri Baru Km 73 Timporongan, Kelurahan Segeri, Kecamatan Segeri, Kabupaten Pangkajene Kepulauan, Sulawesi Selatan, Segeri, Segeri, Kab. Pangkajene Kepulauan, Sulawesi Selatan SULAWESI SELATAN"
SPPG Pati Cluwak Sumur,"Jalan Raya Wedusan, RT 019/RW 003, Desa Sumur, Kecamatan Cluwak, Kabupaten Pati, Provinsi Jawa Tengah",05-05-2025,JAWA TENGAH,Wilayah II,Riza Ishlahul Basyar,Yayasan Dwija Jaya Harmoni,"Pati Cluwak Sumur Jalan Raya Wedusan, RT 019/RW 003, Desa Sumur, Kecamatan Cluwak, Kabupaten Pati, Provinsi Jawa Tengah JAWA TENGAH"
SPPG Pati Juwana Karangrejo,"Jalan Bumirejo Pekuwon, Desa Karangrejo RT 005 RW 001, Kecamatan Juwana, Kabupaten Pati, Jawa Tengah",22-08-2025,JAWA TENGAH,Wilayah II,Siswono Yoga Utama,,"Pati Juwana Karangrejo Jalan Bumirejo Pekuwon, Desa Karangrejo RT 005 RW 001, Kecamatan Juwana, Kabupaten Pati, Jawa Tengah JAWA TENGAH"
SPPG Pati Pati Puri,Dapur Puri Desa Puri Rt 02 Rw 08 Kecamatan Puri Kabupaten Pati Jawa Tengah ,11-10-2025,JAWA TENGAH,Wilayah II,Novia Tirensa,,Pati Pati Puri Dapur Puri Desa Puri Rt 02 Rw 08 Kecamatan Puri Kabupaten Pati Jawa Tengah  JAWA TENGAH
SPPG Pati Sukolilo Prawoto,"Jl. Karang Tandan Rt 06 Rw 04 Kelurahan Prawoto, Kecamatan Sukolilo, Kabupaten Pati, Jawa Tengah",08-09-2025,JAWA TENGAH,Wilayah II,Akid Shofiyanto Nugroho,,"Pati Sukolilo Prawoto Jl. Karang Tandan Rt 06 Rw 04 Kelurahan Prawoto, Kecamatan Sukolilo, Kabupaten Pati, Jawa Tengah JAWA TENGAH"
SPPG Pati Tayu Pakis,"Depan Pabrik Gula Pakis, Desa Pakis Rt. 03 Rw. 06 Kecamatan Tayu Kabupaten Pati, Jawa Tengah",10-10-2025,JAWA TENGAH,Wilayah II,Andrea Ari Matea,,"Pati Tayu Pakis Depan Pabrik Gula Pakis, Desa Pakis Rt. 03 Rw. 06 Kecamatan Tayu Kabupaten Pati, Jawa Tengah JAWA TENGAH"
SPPG Pemalang Belik Gunungtiga,"Dusun Sawangan, Desa Bulakan Rt/Rw 003/005, Kecamatan Belik, Kabupaten Pemalang, Jawa Tengah.",22-09-2025,JAWA TENGAH,Wilayah II,Ginanjar Sandika,,"Pemalang Belik Gunungtiga Dusun Sawangan, Desa Bulakan Rt/Rw 003/005, Kecamatan Belik, Kabupaten Pemalang, Jawa Tengah. JAWA TENGAH"
SPPG Pemalang Taman Kaligelang,"Jl. Ternate Rt002 Rw 006 Desa Kaligelang, Kecamatan Taman, Kabupaten Pemalang, Jawa Tengah

-6.9202910876884225, 109.39292799267133",30-09-2025,JAWA TENGAH,Wilayah II,Aulia Salsabila Manan,,"Pemalang Taman Kaligelang Jl. Ternate Rt002 Rw 006 Desa Kaligelang, Kecamatan Taman, Kabupaten Pemalang, Jawa Tengah

-6.9202910876884225, 109.39292799267133 JAWA TENGAH"
SPPG Pemalang Warungpring Mereng,"Jl. Pancasila Dusun Bengkeng Rt 02 Rw 01 Desa Mereng Kecamatan Warungpring, Kabupaten Pemalang, Jawa Tengah",17-10-2025,JAWA TENGAH,Wilayah II,Ratih Farrasanti,,"Pemalang Warungpring Mereng Jl. Pancasila Dusun Bengkeng Rt 02 Rw 01 Desa Mereng Kecamatan Warungpring, Kabupaten Pemalang, Jawa Tengah JAWA TENGAH"
SPPG Pesisir Selatan Bayang Tanjung Durian Pasar Baru 2,"Jl. Tanjung Durian, Pasar Baru, Kecamatan Bayang, Kabupaten Pesisir Selatan, Sumatera Barat 21625, Tanjung Durian Pasar Baru, Bayang, Kabupaten Pesisir Selatan, Sumatera Barat",29-09-2025,SUMATERA BARAT,Wilayah I,Anggi Nofri Saputra,,"Pesisir Selatan Bayang Tanjung Durian Pasar Baru 2 Jl. Tanjung Durian, Pasar Baru, Kecamatan Bayang, Kabupaten Pesisir Selatan, Sumatera Barat 21625, Tanjung Durian Pasar Baru, Bayang, Kabupaten Pesisir Selatan, Sumatera Barat SUMATERA BARAT"
SPPG Pesisir Selatan Lengayang Kambang Barat,"Jalan Pasir Putih, Desa Pasar Gompong, Kenagarian Kambang Barat, Kecamatan Lengayang, Kabupaten Pesisir Selatan, Provinsi Sumatera Barat",04-08-2025,SUMATERA BARAT,Wilayah I,Yuri Yanti,Yayasan Bungo Tanjuang Pasar Gompong,"Pesisir Selatan Lengayang Kambang Barat Jalan Pasir Putih, Desa Pasar Gompong, Kenagarian Kambang Barat, Kecamatan Lengayang, Kabupaten Pesisir Selatan, Provinsi Sumatera Barat SUMATERA BARAT"
SPPG Pesisir Selatan Silaut Silaut,"Kota Terpadu Mandiri Kampung Tanjung Makmur, Kenagarian Lubuk Bunta, Kecamatan Silaut, Kabupaten Pesisir Selatan, Provinsi Sumatera Barat",04-08-2025,SUMATERA BARAT,Wilayah I,"Andre Irawan, S. IP",Yayasan Pendidikan Tanjung Makmur,"Pesisir Selatan Silaut Silaut Kota Terpadu Mandiri Kampung Tanjung Makmur, Kenagarian Lubuk Bunta, Kecamatan Silaut, Kabupaten Pesisir Selatan, Provinsi Sumatera Barat SUMATERA BARAT"
SPPG Pidie Delima Dayah Reubee,"Jalan Padang Tiji-Garot, Gampong Dayah Reubee, Kecamatan Delima, Kabupaten Pidie, Provinsi Aceh",23-08-2025,ACEH,Wilayah I,A. Zaman Huri,,"Pidie Delima Dayah Reubee Jalan Padang Tiji-Garot, Gampong Dayah Reubee, Kecamatan Delima, Kabupaten Pidie, Provinsi Aceh ACEH"
SPPG Pidie Delima Keurumbok,"JL. GAROT REUBEE, DESA KEURUMBOK AREE, KECAMATAN DELIMA, KAB PIDIE, ACEH, KEURUMBOK, DELIMA, KAB. PIDIE, ACEH",19-08-2025,ACEH,Wilayah I,Bahrol Walidin,,"Pidie Delima Keurumbok JL. GAROT REUBEE, DESA KEURUMBOK AREE, KECAMATAN DELIMA, KAB PIDIE, ACEH, KEURUMBOK, DELIMA, KAB. PIDIE, ACEH ACEH"
